Prep,Frame,H,M,Phase,Combo,Bout,Time,Class,Type,Moves,AComp,DComp
,,,,,,,,,,,,
917,7,5,8,S,H5M8,1,0.052904875,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,7,6,22,S,H6M22,1,0.052904875,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,8,4,8,S,H4M8,1,0.061412086,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,8,5,22,S,H5M22,1,0.061412086,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,8,5,23,S,H5M23,1,0.061412086,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,9,7,26,S,H7M26,1,0.069919298,I,VA,NaN,P,V
,,,,,,,,,,,,
917,12,6,21,S,H6M21,1,0.095440931,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,12,6,23,S,H6M23,1,0.095440931,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,12,6,28,S,H6M28,1,0.095440931,I,VO,NaN,P,V
,,,,,,,,,,,,
917,15,1,4,S,H1M4,1,0.120962565,NaN,DL,NaN,A,D
,,,,,,,,,,,,
917,15,3,8,S,H3M8,1,0.120962565,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,15,4,21,S,H4M21,1,0.120962565,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,15,4,22,S,H4M22,1,0.120962565,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,15,4,23,S,H4M23,1,0.120962565,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,20,1,3,S,H1M3,1,0.163498621,II,DL,NaN,A,D
,,,,,,,,,,,,
917,32,3,3,S,H3M3,1,0.265585156,II,DL,NaN,A,D
,,,,,,,,,,,,
917,48,2,13,S,H2M13,1,0.401700536,III,VL,NaN,A,V
,,,,,,,,,,,,
917,50,5,13,S,H5M13,1,0.418714959,III,VL,NaN,P,V
,,,,,,,,,,,,
917,79,6,8,S,H6M8,2,0.665424085,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,81,2,12,S,H2M12,2,0.682438508,III,VL,NaN,A,V
,,,,,,,,,,,,
917,96,1,21,S,H1M21,2,0.810046676,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,96,1,22,S,H1M22,2,0.810046676,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,96,1,23,S,H1M23,2,0.810046676,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,99,2,21,S,H2M21,2,0.83556831,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,99,2,22,S,H2M22,2,0.83556831,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,103,2,2,S,H2M2,2,0.869597155,II,DL,NaN,A,D
,,,,,,,,,,,,
917,103,3,2,S,H3M2,2,0.869597155,II,DL,NaN,A,D
,,,,,,,,,,,,
917,103,2,5,S,H2M5,2,0.869597155,I,DO,NaN,A,D
,,,,,,,,,,,,
917,103,1,8,S,H1M8,2,0.869597155,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,121,2,3,S,H2M3,2,1.022726958,II,DL,NaN,A,D
,,,,,,,,,,,,
917,132,1,28,S,H1M28,2,1.116306281,I,VO,NaN,A,V
,,,,,,,,,,,,
917,140,2,28,S,H2M28,2,1.184363971,I,VO,NaN,A,V
,,,,,,,,,,,,
917,151,4,21,S,H4M21,2,1.277943295,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,151,5,21,S,H5M21,2,1.277943295,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,152,4,3,S,H4M3,2,1.286450506,II,DL,NaN,A,D
,,,,,,,,,,,,
917,155,4,1,S,H4M1,2,1.31197214,II,DL,NaN,A,D
,,,,,,,,,,,,
917,176,3,21,S,H3M21,3,1.490623576,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,178,2,8,S,H2M8,3,1.507637999,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,178,3,8,S,H3M8,3,1.507637999,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,178,3,25,S,H3M25,3,1.507637999,I,TR,NaN,A,TR
,,,,,,,,,,,,
917,178,2,26,S,H2M26,3,1.507637999,I,VA,NaN,A,V
,,,,,,,,,,,,
917,181,1,1,S,H1M1,3,1.533159633,II,DL,NaN,A,D
,,,,,,,,,,,,
917,183,4,2,S,H4M2,3,1.550174055,II,DL,NaN,A,D
,,,,,,,,,,,,
917,183,2,4,S,H2M4,3,1.550174055,NaN,DL,NaN,A,D
,,,,,,,,,,,,
917,183,4,8,S,H4M8,3,1.550174055,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,183,5,8,S,H5M8,3,1.550174055,III,TR,NaN,P,TR
